year;composer;title;accompaniment;movements;permalink;trebleclef;scope;minSPN;maxSPN;minMIDI;maxMIDI;ambitus;tempo
1808;Beethoven, Ludwig van;Cello Sonata No.3, Op.69;piano;3;https://imslp.org/wiki/Special:ReverseLookup/314760;Loco;5;C2;F#5;36;78;42; 
1808;Ries, Ferdinand;Cello Sonata, Op.20;piano;3;https://imslp.org/wiki/Special:ReverseLookup/450514;8vb;1;C2;D5;36;74;38;Allegro con brio
1808;Ries, Ferdinand;Cello Sonata, Op.20;piano;3;https://imslp.org/wiki/Special:ReverseLookup/450514;8vb;2;C#2;F4;37;65;28;Adagio
1808;Ries, Ferdinand;Cello Sonata, Op.20;piano;3;https://imslp.org/wiki/Special:ReverseLookup/450514;8vb;3;C2;C5;36;72;36;Polonæse. Allegretto moderato
1808;Ries, Ferdinand;Cello Sonata, Op.20;piano;3;https://imslp.org/wiki/Special:ReverseLookup/450514;8vb;4; ; ; ; ; ; 
1808;Ries, Ferdinand;Cello Sonata, Op.20;piano;3;https://imslp.org/wiki/Special:ReverseLookup/450514;8vb;5;C2;D5;36;74;38; 
1808;Ries, Ferdinand;Cello Sonata, Op.21;piano;4;https://imslp.org/wiki/Special:ReverseLookup/450519;8vb;1;C2;D5;36;74;38;Allegro
1808;Ries, Ferdinand;Cello Sonata, Op.21;piano;4;https://imslp.org/wiki/Special:ReverseLookup/450519;8vb;2;C#2;C5;37;72;35;Andante quasi Allegretto (D major)
1808;Ries, Ferdinand;Cello Sonata, Op.21;piano;4;https://imslp.org/wiki/Special:ReverseLookup/450519;8vb;3;C2;E5;36;76;40;Menuetto. Allegretto- Trio
1808;Ries, Ferdinand;Cello Sonata, Op.21;piano;4;https://imslp.org/wiki/Special:ReverseLookup/450519;8vb;4;C2;F5;36;77;41;Rondo. Allegro ma non troppo (A minor)
1808;Ries, Ferdinand;Cello Sonata, Op.21;piano;4;https://imslp.org/wiki/Special:ReverseLookup/450519;8vb;5;C2;F5;36;77;41; 
1815;Beethoven, Ludwig van;Cello Sonata No.4, Op.102 No.1;piano;2;https://imslp.org/wiki/Special:ReverseLookup/314761;Loco;1;C2;F5;36;77;41;Andante - Allegro vivace
1815;Beethoven, Ludwig van;Cello Sonata No.4, Op.102 No.1;piano;2;https://imslp.org/wiki/Special:ReverseLookup/314761;Loco;2;C2;G5;36;79;43;Adagio - Allegro vivace
1815;Beethoven, Ludwig van;Cello Sonata No.4, Op.102 No.1;piano;2;https://imslp.org/wiki/Special:ReverseLookup/314761;Loco;3; ; ; ; ; ; 
1815;Beethoven, Ludwig van;Cello Sonata No.4, Op.102 No.1;piano;2;https://imslp.org/wiki/Special:ReverseLookup/314761;Loco;4; ; ; ; ; ; 
1815;Beethoven, Ludwig van;Cello Sonata No.4, Op.102 No.1;piano;2;https://imslp.org/wiki/Special:ReverseLookup/314761;Loco;5;C2;G5;36;79;43; 
1815;Beethoven, Ludwig van;Cello Sonata No.5, Op.102 No.2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/314762;None;1;C2;B4;36;71;35;Allegro con brio
1815;Beethoven, Ludwig van;Cello Sonata No.5, Op.102 No.2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/314762;None;2;C2;D5;36;74;38;Adagio con molto sentimento d'affetto
1815;Beethoven, Ludwig van;Cello Sonata No.5, Op.102 No.2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/314762;None;3;C#2;C5;37;72;35;Allegro - Allegro fugato
1815;Beethoven, Ludwig van;Cello Sonata No.5, Op.102 No.2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/314762;None;4; ; ; ; ; ; 
1815;Beethoven, Ludwig van;Cello Sonata No.5, Op.102 No.2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/314762;None;5;C2;D5;36;74;38; 
1820;Onslow, George;3 Cello Sonatas, Op.16 (Nr.1);piano;3;https://imslp.org/wiki/Special:ReverseLookup/436040;8vb;1;C2;A5;36;81;45;Allegro
1820;Onslow, George;3 Cello Sonatas, Op.16 (Nr.1);piano;3;https://imslp.org/wiki/Special:ReverseLookup/436040;8vb;2;D2;Eb5;38;75;37;Andante
1820;Onslow, George;3 Cello Sonatas, Op.16 (Nr.1);piano;3;https://imslp.org/wiki/Special:ReverseLookup/436040;8vb;3;C2;Eb5;36;75;39;Finale. Allegretto
1820;Onslow, George;3 Cello Sonatas, Op.16 (Nr.1);piano;3;https://imslp.org/wiki/Special:ReverseLookup/436040;8vb;4; ; ; ; ; ; 
1820;Onslow, George;3 Cello Sonatas, Op.16 (Nr.1);piano;3;https://imslp.org/wiki/Special:ReverseLookup/436040;8vb;5;C2;A5;36;81;45; 
1823;Ries, Ferdinand;Cello Sonata, Op.125;piano;3;https://imslp.org/wiki/Special:ReverseLookup/450681;Loco;1;C2;D5;36;74;38;Grave - Allegro
1823;Ries, Ferdinand;Cello Sonata, Op.125;piano;3;https://imslp.org/wiki/Special:ReverseLookup/450681;Loco;2;C#2;G5;37;79;42;Larghetto con moto
1823;Ries, Ferdinand;Cello Sonata, Op.125;piano;3;https://imslp.org/wiki/Special:ReverseLookup/450681;Loco;3;C2;F5;36;77;41;Rondo. Allegretto
1823;Ries, Ferdinand;Cello Sonata, Op.125;piano;3;https://imslp.org/wiki/Special:ReverseLookup/450681;Loco;4; ; ; ; ; ; 
1823;Ries, Ferdinand;Cello Sonata, Op.125;piano;3;https://imslp.org/wiki/Special:ReverseLookup/450681;Loco;5;C2;G5;36;79;43; 
1824;Hummel, Johann Nepomuk;Cello Sonata in A major, Op. 104;piano;3;https://imslp.org/wiki/Special:ReverseLookup/220555;None;1;C2;E5;36;76;40;Allegro cantabile e grazioso
1824;Hummel, Johann Nepomuk;Cello Sonata in A major, Op. 104;piano;3;https://imslp.org/wiki/Special:ReverseLookup/220555;None;2;C2;C5;36;72;36;Romanza, un poco adagio
1824;Hummel, Johann Nepomuk;Cello Sonata in A major, Op. 104;piano;3;https://imslp.org/wiki/Special:ReverseLookup/220555;None;3;C2;E5;36;76;40;Rondo, allegro vivacetto
1824;Hummel, Johann Nepomuk;Cello Sonata in A major, Op. 104;piano;3;https://imslp.org/wiki/Special:ReverseLookup/220555;None;4; ; ; ; ; ; 
1824;Hummel, Johann Nepomuk;Cello Sonata in A major, Op. 104;piano;3;https://imslp.org/wiki/Special:ReverseLookup/220555;None;5;C2;E5;36;76;40; 
1826;Lachner, Franz Paul;Cello Sonata, Op.14;piano;3;https://imslp.org/wiki/Special:ReverseLookup/113906;Loco;1;B#1;A5;36;81;45;Allegro con brio
1826;Lachner, Franz Paul;Cello Sonata, Op.14;piano;3;https://imslp.org/wiki/Special:ReverseLookup/113906;Loco;2;E2;E5;40;76;36;Scherzo. Allegro assai - Trio
1826;Lachner, Franz Paul;Cello Sonata, Op.14;piano;3;https://imslp.org/wiki/Special:ReverseLookup/113906;Loco;3;C2;A6;36;93;57;Fantasi. Andante maestoso
1826;Lachner, Franz Paul;Cello Sonata, Op.14;piano;3;https://imslp.org/wiki/Special:ReverseLookup/113906;Loco;4; ; ; ; ; ; 
1826;Lachner, Franz Paul;Cello Sonata, Op.14;piano;3;https://imslp.org/wiki/Special:ReverseLookup/113906;Loco;5;B#1;A6;36;93;57; 
1838;Mendelssohn, Felix;Cello Sonata No.1, Op.45;piano;3;https://imslp.org/wiki/Special:ReverseLookup/854096;None;1;C2;D5;36;74;38;Allegro vivace
1838;Mendelssohn, Felix;Cello Sonata No.1, Op.45;piano;3;https://imslp.org/wiki/Special:ReverseLookup/854096;None;2;C2;G4;36;67;31;Andante
1838;Mendelssohn, Felix;Cello Sonata No.1, Op.45;piano;3;https://imslp.org/wiki/Special:ReverseLookup/854096;None;3;C#2;Bb4;37;70;33;Allegro assai
1838;Mendelssohn, Felix;Cello Sonata No.1, Op.45;piano;3;https://imslp.org/wiki/Special:ReverseLookup/854096;None;4; ; ; ; ; ; 
1838;Mendelssohn, Felix;Cello Sonata No.1, Op.45;piano;3;https://imslp.org/wiki/Special:ReverseLookup/854096;None;5;C2;D5;36;74;38; 
1843;Mendelssohn, Felix;Cello Sonata No.2, Op.58;piano;4;https://imslp.org/wiki/Special:ReverseLookup/284216;None;1;C#2;D5;37;74;37;Allegro assai vivace
1843;Mendelssohn, Felix;Cello Sonata No.2, Op.58;piano;4;https://imslp.org/wiki/Special:ReverseLookup/284216;None;2;C#2;B4;37;71;34;Allegretto scherzando
1843;Mendelssohn, Felix;Cello Sonata No.2, Op.58;piano;4;https://imslp.org/wiki/Special:ReverseLookup/284216;None;3;C2;A4;36;69;33;Adagio
1843;Mendelssohn, Felix;Cello Sonata No.2, Op.58;piano;4;https://imslp.org/wiki/Special:ReverseLookup/284216;None;4;C2;F5;36;77;41;Molto allegro e vivace
1843;Mendelssohn, Felix;Cello Sonata No.2, Op.58;piano;4;https://imslp.org/wiki/Special:ReverseLookup/284216;None;5;C2;F5;36;77;41; 
